441,441,441,435,310,247,203,155,155,155,169,756,874,874,869,792,790,790,787,477,412,361,336,331,331,331,331,331,343,356,356,356,481,819,828,836,837,837,837,631,463,397,390,390,390,414,437,445,475,509,509,509,502,377,355,352,352,352,378,521,529,536,536,536,536,399,452,471,483,488,488,488,465,422,498,524,524,524,524,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,29,62,89,78,71,72,72,72,75,247,288,288,284,241,238,238,242,422,461,496,515,518,518,518,384,316,283,248,248,248,212,115,111,114,115,115,115,170,170,168,170,170,170,215,431,451,478,487,487,487,475,307,277,270,270,270,268,223,197,177,176,176,176,342,532,577,597,602,602,602,571,485,121,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,524,323,229,179,176,176,176,521,871,871,864,815,815,815,755,490,423,376,351,342,342,348,435,402,363,356,356,457,661,761,785,812,815,815,770,595,425,392,388,388,388,389,430,457,469,492,495,495,495,410,358,357,358,358,434,564,559,545,541,541,541,516,504,496,496,496,497,497,497,497,543,565,575,575,575,575,575,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,65,65,62,62,62,62,124,257,257,254,235,235,235,241,368,434,488,517,524,524,484,297,267,261,259,259,238,196,185,175,143,141,141,175,257,212,198,195,195,195,202,383,456,458,472,475,475,474,358,281,265,264,264,262,257,235,194,184,184,218,387,491,549,612,634,634,634,590,421,154,95,67,45,35,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,575,402,290,239,205,171,168,170,581,824,829,829,829,829,829,511,328,267,267,317,324,324,324,349,345,343,344,344,344,345,735,875,876,834,822,822,822,738,495,454,434,427,427,432,507,504,504,504,504,504,428,387,379,376,376,376,490,543,543,543,543,543,496,477,478,510,525,524,524,524,422,368,419,545,545,545,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,69,90,82,81,81,81,81,111,205,210,210,210,210,210,379,501,543,544,536,535,535,535,368,314,290,281,281,281,281,135,81,83,118,122,122,122,164,223,203,194,190,190,192,336,478,483,484,484,484,375,316,296,289,289,289,228,191,171,164,164,164,416,672,681,652,627,624,624,624,509,411,199,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,545,545,354,238,195,174,174,249,636,759,785,798,799,799,761,497,389,369,347,336,334,334,334,334,334,344,372,375,375,375,423,716,763,797,818,821,821,807,450,370,365,392,411,411,411,448,509,509,509,509,509,509,431,368,362,362,362,444,603,585,559,552,552,552,552,548,534,518,516,516,516,516,512,509,597,599,599,599,599,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,32,77,77,77,77,77,77,111,157,221,242,243,243,243,243,334,438,482,499,504,504,490,370,322,304,264,255,255,255,248,189,165,149,137,136,136,136,225,224,212,192,189,189,189,225,449,484,488,488,488,488,374,267,255,255,255,255,255,229,204,198,198,248,464,522,554,579,589,589,589,518,432,372,51,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,599,392,264,225,211,156,152,152,262,779,807,808,857,837,832,832,832,801,523,424,383,331,329,329,329,390,394,391,387,387,387,452,747,767,772,811,812,812,785,555,489,456,421,419,419,444,518,530,531,531,531,461,403,383,382,410,475,509,527,527,527,527,527,527,527,515,510,510,510,510,510,510,529,548,548,548,548,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,95,117,107,105,94,91,91,103,254,263,263,262,243,241,241,241,262,430,468,502,544,545,545,545,375,272,249,249,249,249,243,175,167,164,143,143,143,159,236,218,199,189,189,189,234,425,463,489,489,483,336,270,262,261,247,230,224,215,215,215,211,198,198,198,284,531,577,605,614,614,614,128,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
